"expr","time"
"fast14hypcol.not.pruned",3425755
"fast14hypcol.pruned",1371655
"fast14hyprow.not.pruned",3433627
"fast14hypcol.not.pruned",3449002
"fast14hyprow.pruned",1383873
"fast14hyprow.pruned",1370056
"fast13.not.pruned",145422367
"fast14hypcol.not.pruned",3500047
"fast14hyprow.not.pruned",3467534
"fast13.pruned",99824832
"fast13.not.pruned",149384074
"fast14hyprow.pruned",1426923
"fast14hypcol.pruned",1368539
"fast13.pruned",95466532
"fast14hypcol.not.pruned",3480654
"fast13.not.pruned",150456962
"fast13.not.pruned",203717151
"fast14hyprow.pruned",1585224
"fast13.not.pruned",264154923
"fast14hypcol.pruned",1398182
"fast14hyprow.pruned",1385472
"fast13.not.pruned",160558091
"fast14hyprow.pruned",1483093
"fast14hyprow.not.pruned",3629320
"fast13.not.pruned",151133954
"fast13.not.pruned",176477161
"fast14hyprow.pruned",1452589
"fast13.pruned",100917195
"fast13.not.pruned",145700634
"fast14hypcol.pruned",1411630
"fast13.pruned",99716141
"fast13.pruned",96991773
"fast13.not.pruned",149959140
"fast14hypcol.not.pruned",3565606
"fast14hypcol.not.pruned",3513372
"fast14hyprow.not.pruned",3483729
"fast14hypcol.pruned",1396501
"fast14hypcol.not.pruned",3488690
"fast14hypcol.not.pruned",3507181
"fast13.not.pruned",158748310
"fast14hypcol.pruned",1611792
"fast14hyprow.not.pruned",3776469
"fast13.pruned",105338266
"fast13.pruned",97198085
"fast13.pruned",99907078
"fast13.not.pruned",145702848
"fast14hypcol.not.pruned",3525221
"fast14hyprow.not.pruned",3514397
"fast14hypcol.pruned",1386415
"fast13.pruned",100316586
"fast14hypcol.not.pruned",3498489
"fast14hyprow.pruned",1390597
"fast13.pruned",96885132
"fast14hyprow.not.pruned",3547320
"fast14hyprow.not.pruned",3490084
"fast14hyprow.not.pruned",3489305
"fast14hyprow.not.pruned",3489100
"fast14hypcol.pruned",1402282
"fast14hyprow.pruned",1397403
"fast13.pruned",100073210
"fast14hypcol.pruned",1460092
"fast14hyprow.pruned",1425365
"fast14hyprow.pruned",1437706
"fast13.pruned",101616860
"fast13.not.pruned",147875889
"fast14hyprow.not.pruned",3541375
"fast13.not.pruned",150141713
"fast14hyprow.pruned",1401052
"fast14hyprow.pruned",1384283
"fast14hypcol.pruned",1377026
"fast14hypcol.pruned",1384652
"fast13.pruned",99817452
"fast13.pruned",96198177
"fast14hyprow.not.pruned",3572371
"fast14hyprow.pruned",1381987
"fast13.pruned",100745487
"fast14hypcol.not.pruned",3494143
"fast13.pruned",96036965
"fast14hypcol.not.pruned",3495373
"fast14hypcol.pruned",1397034
"fast14hyprow.pruned",1395640
"fast13.not.pruned",149755124
"fast13.not.pruned",153681694
"fast14hyprow.not.pruned",4197744
"fast14hyprow.not.pruned",3862200
"fast14hyprow.pruned",1477681
"fast13.pruned",101164507
"fast13.pruned",105427605
"fast14hypcol.pruned",1462224
"fast14hypcol.pruned",1408473
"fast13.pruned",98955878
"fast14hyprow.not.pruned",3546910
"fast14hyprow.not.pruned",3476718
"fast14hypcol.not.pruned",3491683
"fast13.pruned",100644340
"fast13.not.pruned",150202270
"fast13.pruned",96028355
"fast13.pruned",100723880
"fast14hyprow.pruned",1519542
"fast14hypcol.pruned",1506627
"fast13.not.pruned",151662321
"fast14hypcol.not.pruned",3504721
"fast14hypcol.not.pruned",3484713
"fast13.not.pruned",146074513
"fast13.not.pruned",149941674
"fast14hyprow.pruned",1419502
"fast13.pruned",100622487
"fast14hyprow.not.pruned",3500908
"fast14hyprow.not.pruned",3464746
"fast14hypcol.pruned",1383094
"fast14hyprow.not.pruned",3447280
"fast14hyprow.not.pruned",3479506
"fast13.pruned",96957005
"fast13.not.pruned",150167871
"fast13.not.pruned",149560579
"fast13.not.pruned",149836632
"fast13.not.pruned",146413501
"fast14hypcol.pruned",1414623
"fast14hypcol.pruned",1373869
"fast14hyprow.not.pruned",3493405
"fast14hypcol.pruned",1470342
"fast14hypcol.pruned",1399453
"fast14hypcol.pruned",1383504
"fast14hyprow.not.pruned",3471921
"fast14hyprow.not.pruned",3518374
"fast14hypcol.pruned",1409703
"fast14hypcol.not.pruned",6874019
"fast14hypcol.not.pruned",3460564
"fast14hyprow.not.pruned",3434406
"fast13.pruned",96122040
"fast14hypcol.not.pruned",3482909
"fast14hypcol.pruned",1384242
"fast14hyprow.pruned",1403430
"fast14hyprow.pruned",1387973
"fast13.not.pruned",149796206
"fast14hyprow.pruned",1389326
"fast14hypcol.pruned",1374689
"fast13.not.pruned",151473065
"fast14hypcol.not.pruned",3490535
"fast13.not.pruned",146390664
"fast14hypcol.not.pruned",3578070
"fast14hypcol.pruned",1538566
"fast14hyprow.pruned",1400191
"fast14hypcol.not.pruned",6819120
"fast14hypcol.pruned",1382930
"fast14hyprow.not.pruned",3445435
"fast14hyprow.pruned",1361692
"fast14hyprow.not.pruned",3437358
"fast14hyprow.pruned",1402036
"fast14hypcol.pruned",1397977
"fast14hyprow.pruned",1397690
"fast14hyprow.pruned",1394164
"fast14hypcol.pruned",1377108
"fast13.not.pruned",146611777
"fast14hyprow.pruned",1410195
"fast14hyprow.not.pruned",3474217
"fast14hypcol.pruned",1382848
"fast14hypcol.pruned",1394697
"fast14hypcol.not.pruned",3464336
"fast13.not.pruned",150618871
"fast14hyprow.not.pruned",3536578
"fast14hyprow.pruned",1381577
"fast14hyprow.pruned",1382561
"fast14hypcol.pruned",1398100
"fast14hypcol.pruned",1393385
"fast14hypcol.pruned",1386456
"fast14hyprow.not.pruned",3475488
"fast14hypcol.pruned",1383094
"fast13.pruned",100708669
"fast14hypcol.not.pruned",3490084
"fast13.pruned",97151919
"fast14hyprow.not.pruned",3492175
"fast13.pruned",101252452
"fast13.not.pruned",150169470
"fast13.pruned",96832160
"fast13.not.pruned",150207026
"fast14hyprow.pruned",1417411
"fast13.pruned",96692719
"fast14hypcol.pruned",1401052
"fast13.pruned",99960378
"fast14hyprow.pruned",1385923
"fast14hyprow.pruned",1375058
"fast14hyprow.not.pruned",3491601
"fast14hyprow.pruned",1386702
"fast13.not.pruned",150134415
"fast14hypcol.pruned",1419420
"fast13.not.pruned",150062378
"fast14hypcol.pruned",1376329
"fast14hypcol.not.pruned",3457161
"fast14hyprow.pruned",1369072
"fast14hypcol.pruned",1382930
"fast13.not.pruned",147087459
"fast13.pruned",103173220
"fast13.not.pruned",153326511
"fast14hyprow.not.pruned",3563474
"fast14hypcol.pruned",1424053
"fast14hypcol.pruned",1405521
"fast13.pruned",96947739
"fast14hyprow.not.pruned",3507796
"fast13.pruned",100425236
"fast14hypcol.pruned",1388670
"fast14hypcol.pruned",1375755
"fast14hypcol.pruned",1368580
"fast14hyprow.not.pruned",3478440
"fast14hyprow.pruned",1422208
"fast14hyprow.pruned",1391458
"fast13.not.pruned",159415667
"fast13.pruned",98183192
"fast14hypcol.pruned",1440617
"fast14hypcol.pruned",1402856
"fast14hyprow.not.pruned",3536004
"fast14hypcol.not.pruned",3486025
"fast14hypcol.pruned",1417165
"fast13.not.pruned",153566402
"fast14hyprow.not.pruned",3539530
"fast14hypcol.pruned",1407325
"fast14hyprow.pruned",1395025
"fast14hypcol.not.pruned",3493159
"fast14hyprow.not.pruned",3497792
"fast14hypcol.not.pruned",3542154
"fast13.pruned",100828922
"fast14hyprow.pruned",1457550
"fast14hyprow.not.pruned",3453963
"fast14hypcol.not.pruned",3469133
"fast14hypcol.not.pruned",3462040
"fast14hyprow.pruned",1366407
"fast14hypcol.pruned",1361651
"fast14hyprow.not.pruned",3452282
"fast14hypcol.not.pruned",3458350
"fast13.pruned",96462381
"fast13.not.pruned",152802080
"fast14hyprow.not.pruned",3492216
"fast14hyprow.pruned",1384980
"fast14hypcol.not.pruned",3536086
"fast14hypcol.pruned",1453245
"fast13.pruned",97483609
"fast13.pruned",100188912
"fast13.pruned",97581107
"fast14hyprow.not.pruned",3550600
"fast14hyprow.not.pruned",3511814
"fast13.pruned",100956514
"fast14hyprow.not.pruned",3523663
"fast14hypcol.not.pruned",3476062
"fast13.pruned",100023149
"fast14hyprow.not.pruned",3458309
"fast13.not.pruned",146077506
"fast13.pruned",100848069
"fast13.not.pruned",159361875
"fast13.not.pruned",148160429
"fast14hyprow.not.pruned",3534036
"fast13.not.pruned",150368771
"fast13.pruned",100145534
"fast14hypcol.pruned",1440740
"fast14hypcol.not.pruned",3499719
"fast14hypcol.not.pruned",3465566
"fast14hyprow.not.pruned",3461958
"fast13.not.pruned",149635199
"fast14hypcol.not.pruned",3470855
"fast14hyprow.pruned",1370302
"fast14hypcol.pruned",1368088
"fast14hypcol.pruned",1366735
"fast14hyprow.not.pruned",3460769
"fast13.not.pruned",146152864
"fast13.not.pruned",150802633
"fast14hypcol.not.pruned",3497095
"fast13.pruned",99959189
"fast14hyprow.pruned",1442052
"fast13.pruned",96875333
"fast13.not.pruned",149795796
"fast13.pruned",101520223
"fast14hypcol.pruned",1395968
"fast14hyprow.not.pruned",3451790
"fast14hyprow.pruned",1369564
"fast14hypcol.pruned",1370999
"fast14hypcol.not.pruned",3468272
"fast14hypcol.pruned",1373541
"fast14hypcol.pruned",1366530
"fast13.not.pruned",146386933
"fast14hypcol.pruned",1427169
"fast13.pruned",99636806
"fast14hyprow.not.pruned",3521162
"fast14hypcol.not.pruned",3473930
"fast13.not.pruned",152007254
"fast14hyprow.not.pruned",3532314
"fast13.pruned",97324898
"fast14hyprow.not.pruned",3514807
"fast14hyprow.pruned",1391253
"fast14hypcol.not.pruned",3498284
"fast13.pruned",99850539
"fast14hyprow.pruned",1411630
"fast13.pruned",95769645
"fast14hyprow.pruned",1403348
"fast13.pruned",100469762
"fast14hypcol.pruned",1395517
"fast14hyprow.pruned",1373090
"fast14hypcol.not.pruned",3498120
"fast14hyprow.not.pruned",3457858
"fast14hypcol.pruned",1374443
"fast14hyprow.not.pruned",3458842
"fast14hyprow.pruned",1380142
"fast13.pruned",99089251
"fast14hypcol.pruned",1528562
"fast14hyprow.not.pruned",3862282
"fast13.not.pruned",152266825
"fast14hyprow.not.pruned",3504926
"fast14hyprow.pruned",1393467
"fast13.not.pruned",149781856
"fast14hyprow.pruned",1404660
"fast13.pruned",99885676
"fast14hyprow.not.pruned",3487665
"fast14hypcol.not.pruned",3454988
"fast13.pruned",98238337
"fast14hyprow.not.pruned",3555848
"fast14hyprow.pruned",1388629
"fast13.not.pruned",150300137
"fast14hypcol.pruned",1400929
"fast14hypcol.not.pruned",3513577
"fast14hypcol.not.pruned",3480162
"fast13.not.pruned",154054835
"fast14hypcol.not.pruned",3519973
"fast14hyprow.not.pruned",3492093
"fast14hypcol.pruned",1387399
"fast13.not.pruned",151089592
"fast14hypcol.pruned",1458083
"fast13.pruned",102351129
"fast14hypcol.not.pruned",3752361
"fast13.pruned",103161084
"fast13.not.pruned",148798389
"fast14hyprow.not.pruned",3610009
"fast14hyprow.pruned",1420158
"fast14hyprow.not.pruned",3535758
"fast14hyprow.pruned",1438731
"fast14hyprow.pruned",1416304
"fast14hypcol.not.pruned",3549206
"fast14hypcol.pruned",1418477
"fast14hyprow.pruned",1410154
"fast14hyprow.pruned",1401257
"fast13.not.pruned",156087000
"fast14hypcol.pruned",1479649
"fast13.not.pruned",152925203
"fast14hyprow.not.pruned",3715666
"fast13.pruned",101862491
"fast14hyprow.not.pruned",3570690
"fast13.not.pruned",146645151
"fast14hyprow.not.pruned",3533544
"fast14hyprow.not.pruned",3479424
"fast13.pruned",100360169
"fast14hyprow.not.pruned",3496562
"fast14hypcol.not.pruned",3506320
"fast14hyprow.not.pruned",3519973
"fast13.pruned",97068238
"fast14hyprow.not.pruned",3484713
"fast14hyprow.pruned",1397198
"fast13.pruned",99760175
"fast14hypcol.pruned",1389039
"fast13.pruned",100662503
"fast13.pruned",96509244
"fast13.not.pruned",150193332
"fast14hypcol.pruned",1433032
"fast14hypcol.not.pruned",3472987
"fast14hypcol.not.pruned",3453143
"fast13.not.pruned",150764954
"fast13.pruned",97561181
"fast14hyprow.pruned",1396296
"fast14hypcol.not.pruned",3542400
"fast14hyprow.pruned",1390146
"fast14hypcol.not.pruned",3511117
"fast13.not.pruned",150912882
"fast13.pruned",96620641
"fast13.pruned",100466236
"fast14hyprow.pruned",1401872
"fast14hyprow.pruned",1384037
"fast13.pruned",99769892
