"expr","time"
"fast14hypcol.not.pruned",35002192
"fast13.pruned",1106337563
"fast13.not.pruned",1805975298
"fast13.pruned",1096365215
"fast13.pruned",1110879707
"fast13.not.pruned",1794755443
"fast14hyprow.not.pruned",37773956
"fast13.not.pruned",1808748784
"fast14hypcol.not.pruned",36580077
"fast14hyprow.not.pruned",36108249
"fast14hyprow.not.pruned",35789474
"fast14hypcol.not.pruned",35098665
"fast14hypcol.pruned",10439215
"fast14hypcol.pruned",10315600
"fast14hypcol.pruned",10629086
"fast14hypcol.pruned",10646060
"fast14hyprow.not.pruned",35406616
"fast14hypcol.not.pruned",38811789
"fast14hypcol.pruned",10437370
"fast13.pruned",1101094155
"fast13.pruned",1093942648
"fast14hypcol.not.pruned",34338156
"fast14hypcol.pruned",9970913
"fast14hypcol.not.pruned",34146686
"fast14hyprow.pruned",10256027
"fast14hyprow.pruned",10056439
"fast13.not.pruned",1836915620
"fast14hypcol.not.pruned",34075756
"fast14hyprow.pruned",9949634
"fast13.not.pruned",1802492922
"fast14hyprow.pruned",9963205
"fast14hyprow.not.pruned",34154681
"fast13.not.pruned",1795515542
"fast13.not.pruned",1812770474
"fast14hyprow.not.pruned",34170835
"fast14hypcol.pruned",9922533
"fast14hypcol.pruned",9896170
"fast14hyprow.not.pruned",34405929
"fast14hyprow.not.pruned",34399246
"fast13.pruned",1098748586
"fast13.pruned",1097949455
"fast14hypcol.not.pruned",34164603
"fast14hyprow.pruned",9943976
"fast14hyprow.pruned",9911668
"fast14hypcol.pruned",9908429
"fast14hyprow.not.pruned",34344921
"fast13.not.pruned",1937978283
"fast14hypcol.pruned",9914087
"fast14hypcol.not.pruned",34101750
"fast13.pruned",1090590816
"fast14hyprow.pruned",9938318
"fast14hypcol.not.pruned",34202897
"fast14hyprow.pruned",10031101
"fast13.pruned",1087378261
"fast13.not.pruned",1814143113
"fast14hyprow.pruned",10174027
"fast14hyprow.pruned",10079235
"fast14hyprow.not.pruned",34194082
"fast13.pruned",1099342799
"fast13.not.pruned",1846897808
