"expr","time"
"fast13.pruned",106054372
"fast14hypcol.pruned",1221349
"fast14hyprow.pruned",1198184
"fast14hyprow.pruned",1188754
"fast14hyprow.not.pruned",3721816
"fast14hypcol.not.pruned",3692214
"fast14hypcol.not.pruned",3744571
"fast13.pruned",110735465
"fast13.pruned",107305692
"fast14hypcol.pruned",1256568
"fast13.pruned",108055869
"fast13.pruned",105838630
"fast14hyprow.pruned",1247794
"fast13.not.pruned",163373643
"fast14hypcol.pruned",1241275
"fast14hypcol.pruned",1203719
"fast14hyprow.not.pruned",3746867
"fast13.pruned",110622223
"fast14hyprow.not.pruned",3736207
"fast13.not.pruned",159609802
"fast13.not.pruned",159530754
"fast14hypcol.pruned",1218766
"fast14hyprow.not.pruned",3663801
"fast14hypcol.pruned",1184121
"fast13.not.pruned",169851930
"fast14hyprow.not.pruned",3722554
"fast14hypcol.not.pruned",3645474
"fast14hyprow.not.pruned",3651993
"fast14hypcol.pruned",1178258
"fast13.pruned",106590939
"fast14hyprow.not.pruned",3821979
"fast13.not.pruned",165532744
"fast14hypcol.pruned",1243653
"fast14hyprow.not.pruned",3718659
"fast14hypcol.not.pruned",3733378
"fast14hyprow.not.pruned",3703571
"fast14hyprow.not.pruned",3703120
"fast14hyprow.pruned",1214502
"fast14hypcol.pruned",1197200
"fast14hyprow.pruned",1193674
"fast14hyprow.not.pruned",3662079
"fast14hypcol.pruned",1194699
"fast13.pruned",110755637
"fast14hyprow.pruned",1231968
"fast13.not.pruned",161956560
"fast14hyprow.pruned",1240824
"fast14hyprow.not.pruned",3651583
"fast14hypcol.pruned",1207573
"fast14hypcol.not.pruned",3657856
"fast14hyprow.not.pruned",3633215
"fast14hypcol.not.pruned",3644080
"fast14hyprow.pruned",1186704
"fast14hyprow.not.pruned",3666425
"fast13.pruned",105176808
"fast14hypcol.not.pruned",3722431
"fast14hyprow.not.pruned",3663145
"fast14hypcol.not.pruned",3659168
"fast14hyprow.pruned",1191091
"fast14hypcol.not.pruned",3653674
"fast13.pruned",108942822
"fast14hypcol.not.pruned",3668639
"fast14hypcol.pruned",1199127
"fast14hyprow.pruned",1210443
"fast14hypcol.pruned",1204539
"fast13.pruned",105938465
"fast14hypcol.not.pruned",3690041
"fast14hypcol.not.pruned",3672001
"fast14hypcol.not.pruned",3709762
"fast13.not.pruned",161216305
"fast14hyprow.pruned",1214010
"fast14hyprow.pruned",1222456
"fast14hyprow.pruned",1191050
"fast14hyprow.pruned",1192772
"fast14hypcol.not.pruned",3707548
"fast14hypcol.not.pruned",3686679
"fast14hypcol.pruned",1206999
"fast14hyprow.not.pruned",3695371
"fast14hypcol.pruned",1230697
"fast13.not.pruned",161399862
"fast14hypcol.not.pruned",3685736
"fast14hyprow.pruned",1200070
"fast14hypcol.pruned",1191009
"fast14hyprow.not.pruned",3664785
"fast14hypcol.not.pruned",3652157
"fast14hyprow.not.pruned",3664334
"fast14hyprow.pruned",1192485
"fast13.pruned",109733138
"fast13.not.pruned",162311743
"fast14hypcol.not.pruned",3668065
"fast14hyprow.not.pruned",3637561
"fast13.not.pruned",161114543
"fast14hyprow.pruned",1220898
"fast14hyprow.pruned",1185597
"fast13.not.pruned",161750658
"fast14hyprow.not.pruned",3659209
"fast13.pruned",107350874
"fast14hypcol.pruned",1288425
"fast14hyprow.pruned",1225285
